signal_number;date;side;signal;text;sources;;;;;;;;;;;;;;;;;;;;;
112;1 September 2022;W;W8;Macron: France’s role is to avoid nuclear escalation and “everything” has to be done for “countries not to get engaged in the conflict carelessly.”;"“Speech by the President of the French Republic at the conference of ambassadors,” Website of the Élysée,
September 1, 2022 [https://www.elysee.fr/en/emmanuel-macron/2022/09/01/speech-by-the-president-of-
the-french-republic-at-the-conference-of-ambassadors-1]";;;;;;;;;;;;;;;;;;;;;
113;7 September 2022;W;W3;US conducts an announced Minuteman III test.;"Stephen Losey, “See the US Air Force test launch a nuclear missile,” Defense News, September 6, 2022; “Pentagon Press Secretary Air Force Brig. Gen. Pat Ryder Holds an On-Camera Press Briefing,” Website of the
U.S. [https://www.defense.gov/News/Transcripts/Transcript/Article/3149972/pentagon-press-secretary-air-
force-brig-gen-pat-ryder-holds-an-on-camera-press/].
[https://www.defensenews.com/training-sim/2022/09/06/us-air-force-to-test-launch-nuclear-missile-
wednesday-morning/].";;;;;;;;;;;;;;;;;;;;;
114;14 September 2022;R;R6;Zakharova: Sending long-range weapons to Ukraine would make the United States “a direct party to the conflict.”;"“Russia says longer-range U.S. missiles for Kyiv would cross red line,” Reuters, September 15, 2022
[https://www.reuters.com/world/europe/russia-says-longer-range-us-missiles-kyiv-would-cross-red-line-
2022-09-15/].";;;;;;;;;;;;;;;;;;;;;
115;16 September 2022;R;R3;Putin: Russia’s military conducts nuclear drills in the Arctic to test its ability to “defend the Russian arctic by military means.”;"“With a grin, Putin warns Ukraine: the war can get more serious,” Reuters, September 16, 2022
[https://www.reuters.com/world/europe/russias-putin-says-west-wants-breakup-russia-he-invaded-ukraine-
stop-it-2022-09-16/], and “News conference following visit to Uzbekistan,” Website of the President of Russia,
September 16, 2022 [http://en.kremlin.ru/events/president/news/69366]; “Russia conducts military drills in Arctic sea opposite Alaska,” Reuters, September 16, 2022
[https://www.reuters.com/world/russia-conducts-military-drills-arctic-sea-opposite-alaska-2022-09-16/]";;;;;;;;;;;;;;;;;;;;;
116;16 September 2022;W;W2;Biden: Russian nuclear use would “change the face of war unlike anything since World War II” and a US response would be “consequential.”;"“President Biden warns Vladimir Putin not to use nuclear weapons: ‘Don't. Don't. Don't.’,” CBS News,
September 16, 2022 [https://www.cbsnews.com/news/president-joe-biden-vladimir-putin-60-minutes-2022-
09-16/]";;;;;;;;;;;;;;;;;;;;;
117;20 September 2022;R;R2;Medvedev: Russia could defend the four Ukrainian provinces it was annexing with “all the forces of self-defense.”;"Post on Telegram channel of Dmitry Medvedev, Telegram, September 20, 2022
[https://t.me/medvedev_telegram/178].";;;;;;;;;;;;;;;;;;;;;
118;21 September 2022;R;R1;Putin: Russia will “make use of all weapon systems available to us” in case of “a threat to the territorial integrity” of Russia. “This is not a bluff.”;"“Address by the President of the Russian Federation,” Website of the President of Russia, September 21, 2022
[http://en.kremlin.ru/events/president/news/69390].";;;;;;;;;;;;;;;;;;;;;
119;21 September 2022;W;W7;Biden: “Russia shunned the Non-Proliferation ideals embraced by every other nation at the 10th NPT Review Conference.” He condemns Russia for “making irresponsible nuclear threats,” but does not issue any own warnings.;"“Remarks by President Biden Before the 77th Session of the United Nations General Assembly,” Website of the
White House, September 21, 2022 [https://www.whitehouse.gov/briefing-room/speeches-
remarks/2022/09/21/remarks-by-president-biden-before-the-77th-session-of-the-united-nations-general-
assembly/].";;;;;;;;;;;;;;;;;;;;;
120;22 September 2022;W;W7;Blinken: Urges the UN Security Council to “send a clear message that these reckless nuclear threats must stop immediately,” but refrains from issuing any own warnings.;"“Secretary Antony J. Blinken at the United Nations Security Council Ministerial Meeting on Ukrainian
Sovereignty and Russian Accountability,” Website of the U.S. Department of State, September 22, 2022
[https://www.state.gov/secretary-antony-j-blinken-at-the-united-nations-security-council-ministerial-meeting-
on-ukrainian-sovereignty-and-russian-accountability/].";;;;;;;;;;;;;;;;;;;;;
121;22 September 2022;R;R2;Medvedev: Any weapons, “including strategic nuclear weapons and weapons based on new principles, could be used” to protect “all the territories that have joined [Russia].”;"Post on Telegram channel of Dmitry Medvedev, Telegram, September 22, 2022
[https://t.me/s/medvedev_telegram].";;;;;;;;;;;;;;;;;;;;;
122;23 September 2022;W;W6;US officials: Express concern Putin could use tactical nuclear weapons, but stress that there is “no evidence” Russia was preparing such a strike.;"Paul Sonne and John Hudson, “U.S. has sent private warnings to Russia against using a nuclear weapon,” The
Washington Post, September 22, 2022 [https://www.washingtonpost.com/national-
security/2022/09/22/russia-nuclear-threat-us-options/]; Eric Schmitt and Jim Tankersley, “The U.S. says Russia isn’t preparing to use nuclear weapons, yet,” The New
York Times, September 24, 2022 [https://www.nytimes.com/2022/09/25/world/europe/the-us-says-russia-
isnt-preparing-to-use-nuclear-weapons-yet.html";;;;;;;;;;;;;;;;;;;;;
123;24 September 2022;R;R2;Lavrov: Russia’s “entire territory” is “under the state’s full protection” and all Russian “doctrines” apply to Russia’s “entire territory.”;"“All potential new Russian territories will be under state’s protection — Lavrov,” TASS, September 24, 2022
[https://tass.com/politics/1512901].";;;;;;;;;;;;;;;;;;;;;
124;25 September 2022;W;W2;Sullivan: “Any use of nuclear weapons will be met with catastrophic consequences for Russia.” Washington has been “clear and specific” towards the Kremlin regarding the US response.;"""Transcript: National security advisor Jake Sullivan on ‘Face the Nation,’ Sept. 25, 2022,” CBS News, September
25, 2022 [https://www.cbsnews.com/news/jake-sullivan-face-the-nation-transcript-09-25-2022/]; “Transcript: National security advisor Jake Sullivan on ‘Face the Nation,’ Sept. 25, 2022,” CBS News, September
25, 2022 [https://www.cbsnews.com/news/jake-sullivan-face-the-nation-transcript-09-25-2022/]; “Full transcript: Ukrainian President Volodymyr Zelenskyy on ‘Face the Nation,’ Sept. 25, 2022,” CBS News,
September 26, 2022 [https://www.cbsnews.com/news/volodymyr-zelenskyy-ukraine-president-face-the-
nation-transcript-09-25-2022/].";;;;;;;;;;;;;;;;;;;;;
125;26 September 2022;R;R6;Ryabkov: Accuses Washington of an “irresponsible, extremely aggressive, extremely pushy course,” which is “bringing everyone closer to a dangerous line.”;"“Senior diplomat says Russia didn’t change its doctrinal approaches to nuclear weapons,” TASS, September 26,
2022 [https://tass.com/politics/1513565].";;;;;;;;;;;;;;;;;;;;;
126;27 September 2022;R;R2;Medvedev: If the “threat” to Russia from “Nazi Ukraine” exceeds “the established danger limit,” the Kremlin “will have to respond,” including with “the most formidable weapon,” while the West will still “not directly intervene in the conflict even in this situation.”;"Post on Telegram channel of Dmitry Medvedev, Telegram, September 27, 2022
[https://t.me/medvedev_telegram/181].";;;;;;;;;;;;;;;;;;;;;
127;27 September 2022;W;W8;US Strategic Command: “We have not seen any reason to adjust our own nuclear posture at this time.”;"Bryan Bender, “U.S. steps up intel, surveillance after Putin’s nuke threats,” Politico, September 27, 2022
[https://www.politico.com/news/2022/09/27/putin-nuke-russia-ukraine-intel-surveillance-00059020].";;;;;;;;;;;;;;;;;;;;;
128;28 September 2022;R;R6;Zakharova: The West talks “with ease” about nuclear weapons and is “engaged in total destruction” against Russia, whereas Moscow has pursued “many attempts to dialogue.”;"“US uses all kinds of manipulations to drag Russia into nuclear agenda — diplomat,” TASS, September 28, 2022
[https://tass.com/politics/1514473].";;;;;;;;;;;;;;;;;;;;;
129;28 September 2022;W;W2;US government: “There would be catastrophic, severe, strong, profound implications for Russia” if it used nuclear weapons.;"“Press Briefing by Press Secretary Karine Jean-Pierre, September 28, 2022,” Website of the White House,
September 28, 2022 [https://www.whitehouse.gov/briefing-room/press-briefings/2022/09/28/press-briefing-
by-press-secretary-karine-jean-pierre-september-28-2022/]";;;;;;;;;;;;;;;;;;;;;
130;30 September 2022;R;R6;Putin: Washington “created a precedent” by using nuclear weapons during World War II.;"“Signing of treaties on accession of Donetsk and Lugansk people's republics and Zaporozhye and Kherson
regions to Russia,” Website of the President of Russia, September 30, 2022
[http://en.kremlin.ru/events/president/news/69465]; “Signing of treaties on accession of Donetsk and Lugansk people's republics and Zaporozhye and Kherson
regions to Russia,” Website of the President of Russia, September 30, 2022
[http://en.kremlin.ru/events/president/news/69465].";;;;;;;;;;;;;;;;;;;;;
131;1 October 2022;W;W2;US, UK, and France warned Russia that they would retaliate with conventional weapons if Moscow decided to use nuclear weapons in Ukraine.;"Max Seddon et al, “How Putin blundered into Ukraine — then doubled down,” Financial Times, February 23,
2023 [https://www.ft.com/content/80002564-33e8-48fb-b734-44810afb7a49].";;;;;;;;;;;;;;;;;;;;;
132;4 October 2022;R;R7 ;Dismisses allegations that Russia would use nuclear weapons, blaming the West for engaging in “exercises in nuclear rhetoric.”;"“Kremlin dismisses UK media report on Russian nuclear test,” Reuters, October 4, 2022
[https://www.reuters.com/world/europe/kremlin-dismisses-uk-media-report-russian-nuclear-test-2022-10-
04/].";;;;;;;;;;;;;;;;;;;;;
133;6 October 2022;R;R6;Antonov: NATO has an “ill sense of fear in the context of [Russia’s] possession of nuclear weapons.”;"“US, NATO have ill sense of fear over Russia’s possession of nuclear weapons – ambassador,” TASS, October 6,
2022 [https://tass.com/politics/1518457].";;;;;;;;;;;;;;;;;;;;;
134;6 October 2022;R;R8;Zakharova: A nuclear war “should never be unleashed” and Russian statements are “turned inside out” by Western “hints” from politicians and spies.;"US wishes to fan tensions over nuclear arms, blame Russia — MFA,” TASS, October 6, 2022
[https://tass.com/politics/1518807].";;;;;;;;;;;;;;;;;;;;;
135;6 October 2022;W;W6;Biden: Putin is “not joking” and Washington faces the “prospect of Armageddon,” hence needing to find an “off ramp.”;"Christopher Cadelago, “Biden invokes Cuban missile crisis in addressing Russia's nuclear threats,” Politico,
October 6, 2022 [https://www.politico.com/news/2022/10/06/biden-cuban-missile-crisis-russia-nuclear-
00060877]; Yasmeen Abutaleb, “On foreign policy, Biden’s gut is his guide,” Washington Post, April 3, 2023
[https://www.washingtonpost.com/politics/2023/04/03/biden-foreign-policy-instinct/].";;;;;;;;;;;;;;;;;;;;;
136;7 October 2022;W;W6;Various US institutions underline that there are no signs of an imminent nuclear threat – it is “not probable” that Russia would use nuclear weapons.;"Phil Mattingly, Jeremy Diamond and Kevin Liptak, “Biden’s nuclear warning not based on new intelligence but
opens a window into real worries inside the White House,” CNN, October 7, 2022
[https://edition.cnn.com/2022/10/07/politics/joe-biden-nuclear-weapons-russia-vladimir-putin/index.html]; Sam Levine, “Pentagon spokesperson tamps down concerns over nuclear ‘Armageddon’,” The Guardian,
October 9, 2022 [https://www.theguardian.com/world/2022/oct/09/biden-armageddon-russia-nuclear-threat-
pentagon].";;;;;;;;;;;;;;;;;;;;;
137;11 October 2022;W;W6 ;Biden: Does not think that Putin would use nuclear weapons.;"Olivia Olander, “Biden: I don't think Putin will use nuclear weapons,” Politico, October 11, 2022
[https://www.politico.com/news/2022/10/11/biden-putin-nuclear-weapons-00061355].";;;;;;;;;;;;;;;;;;;;;
138;11 October 2022;W;W7;Biden: But it is “irresponsible for [Russia’s leader] to talk about it [using nuclear weapons].”;"Olivia Olander, “Biden: I don't think Putin will use nuclear weapons,” Politico, October 11, 2022
[https://www.politico.com/news/2022/10/11/biden-putin-nuclear-weapons-00061355].";;;;;;;;;;;;;;;;;;;;;
139;11 October 2022;W;W2;G7: “Any use of chemical, biological or nuclear weapons by Russia would be met with severe consequences.”;"“Zelenskyy asks for ‘air shield’ as G7 pledges continued support,” Al Jazeera, October 11, 2022
[https://www.aljazeera.com/news/2022/10/11/g7-leaders-ukraine-president-to-hold-talks].";;;;;;;;;;;;;;;;;;;;;
140;11 October 2022;W;W1;Stoltenberg: The Steadfast Noon exercise will go ahead as NATO's military strength “is the best way to prevent escalation.”;"“Pre-ministerial press conference,” Website of the North Atlantic Treaty Organization, October 11, 2022
[https://www.nato.int/cps/ru/natohq/opinions_208037.htm?selectedLocale=en].";;;;;;;;;;;;;;;;;;;;;
141;12 October 2022;R;R7;Peskov: Criticizes Biden for his Armageddon comment – engaging in “nuclear rhetoric” is a “harmful and provocative practice.”;"Guy Faulconbridge, “Kremlin scolds West for 'provocative' nuclear rhetoric,” Politico, October 12, 2022
[https://www.reuters.com/world/kremlin-scolds-west-provocative-nuclear-rhetoric-2022-10-12/].";;;;;;;;;;;;;;;;;;;;;
142;12 October 2022;W;W6;Austin: US does not see any indicators that Russia is changing its nuclear posture towards moving ahead with a nuclear strike.;"Sabine Siebold and Phil Stewart, “Russian nuclear strike likely to provoke 'physical response,' NATO official
says,” Reuters, October 12, 2022 [https://www.reuters.com/world/russian-nuclear-strike-would-almost-
certainly-draw-physical-response-nato-2022-10-12/].";;;;;;;;;;;;;;;;;;;;;
143;12 October 2022;W;W2;A NATO official: A Russian nuclear strike would change the course of the conflict and “almost certainly be drawing a physical response from many allies, and potentially from NATO itself.”;"Sabine Siebold and Phil Stewart, “Russian nuclear strike likely to provoke 'physical response,' NATO official
says,” Reuters, October 12, 2022 [https://www.reuters.com/world/russian-nuclear-strike-would-almost-
certainly-draw-physical-response-nato-2022-10-12/].";;;;;;;;;;;;;;;;;;;;;
144;13 October 2022;W;W2;Stoltenberg: “Any use of a smaller nuclear weapon will be a very serious thing, fundamentally changing the nature of the war in Ukraine, and of course that would have consequences.”;" Lorne Cook, “NATO chief warns Russia not to cross ‘very important line’,” AP News, October 13, 2022
[https://apnews.com/article/russia-ukraine-putin-nato-government-and-politics-moscow-
4b8db123007dde5c1f859bb8134b7dd5].";;;;;;;;;;;;;;;;;;;;;
145;13 October 2022;W;W2;Borell: “Any nuclear attack against Ukraine will create an answer, not a nuclear answer but such a powerful answer from the military side that the Russian army will be annihilated.”;"Lorne Cook, “NATO chief warns Russia not to cross ‘very important line’,” AP News, October 13, 2022
[https://apnews.com/article/russia-ukraine-putin-nato-government-and-politics-moscow-
4b8db123007dde5c1f859bb8134b7dd5].";;;;;;;;;;;;;;;;;;;;;
146;14 October 2022;R;R6;"Medvedev: Neither Americans nor Europeans want to die for Ukraine in “a nuclear apocalypse;” they would respond to a Russian nuclear use in a “careful and balanced” manner.";"“Medvedev dismisses EU foreign policy chief’s nuclear strike remark as ‘paranoia’,” TASS, October 14, 2022
[https://tass.com/politics/1522547].";;;;;;;;;;;;;;;;;;;;;
147;14 October 2022;R;R6;Venediktov: Ukraine joining NATO “would mean a guaranteed escalation to World War Three,” which would be “suicidal” for existing NATO members.;"Guy Faulconbridge and Lidia Kelly, “Russian Official Warns of World War Three if Ukraine Joins NATO,”
Reuters, October 13, 2022 [https://www.usnews.com/news/world/articles/2022-10-13/admission-of-ukraine-
to-nato-can-lead-to-third-world-war-russian-official]";;;;;;;;;;;;;;;;;;;;;
148;14 October 2022;W;W8;Macron: France would “evidently” not use nuclear weapons in response to a Russian nuclear attack on Ukraine.;"Clea Caulcutt, “Macron under fire for saying France wouldn’t respond in kind if Russia launched nuclear attack
on Ukraine,” Politico, October 13, 2022 [https://www.politico.eu/article/france-emmanuel-macron-nuclear-
attack-russia-ukraine/].";;;;;;;;;;;;;;;;;;;;;
149;14 October 2022;W;W6;Western officials: Russia’s “Grom” exercise, although routine, is probably conceived as power projection amidst the war in Ukraine. NATO’s nuclear exercise is different as it was planned before the Ukraine invasion and has no “special meaning.”;"Phil Stewart, “Is this a drill? Upcoming Russian nuclear exercises a challenge for the West,” Reuters, October 14,
2022 [https://www.reuters.com/article/instant-article/idAFKBN2R824E]";;;;;;;;;;;;;;;;;;;;;
150;16 October 2022;W;W2;Sullivan: The seriousness of nuclear weapons use does not depend on the size of the weapon, meaning that tactical weapons use in Ukraine would be a serious matter.;"“Sullivan: 'Dangerous' to distinguish between possible Russian nuclear attacks,” CNN, October 16, 2022
[https://edition.cnn.com/videos/politics/2022/10/16/sotu-jake-sullivan.cnn].";;;;;;;;;;;;;;;;;;;;;
151;17 October 2022;W;W3;NATO commences its Steadfast Noon nuclear exercise as planned.;"“NATO starts nuclear drills amid Russia tensions,” Deutsche Welle, October 17, 2022
[https://www.dw.com/en/nato-starts-nuclear-drills-amid-russia-tensions/a-63461390].";;;;;;;;;;;;;;;;;;;;;
152;18 October 2022;R;R2;Peskov: The four annexed provinces “are inalienable parts of the Russian Federation and they are all protected. Their security is provided for at the same level as [it is for] the rest of Russia’s territory.”;"Mark Trevelyan, “Russia says seized Ukrainian lands are under its nuclear protection,” Reuters, October 18,
2022 [https://www.reuters.com/world/europe/kremlin-annexed-ukrainian-lands-protected-by-russian-
nuclear-weapons-2022-10-18/]";;;;;;;;;;;;;;;;;;;;;
153;20 October 2022;W;W2;Blinken: Washington has been “very clear” with Putin “directly and privately” about the “severe consequences” that would follow any nuclear use.;"Tweet by @GMA, Twitter, October 20, 2022
[https://twitter.com/GMA/status/1583053444008804353?s=20&t=MsV-LkXah119ZxhltzDc1A].";;;;;;;;;;;;;;;;;;;;;
154;23 October 2022;R;R6;Shoigu: Claims that Ukraine could escalate the conflict with a dirty bomb and calls his US, British, and French counterparts to repeat this message.;"“False flag? Russia says Ukraine plans to detonate a ‘dirty bomb’” Al Jazeera, October 23, 2022
[https://www.aljazeera.com/news/2022/10/23/false-flag-russia-says-ukraine-plans-to-detonate-a-dirty-
bomb], and Post on Telegram channel of Ria Novosti, Telegram, October 23, 2022
[https://t.me/rian_ru/182910]";;;;;;;;;;;;;;;;;;;;;
155;23 October 2022;W;W2;Austin and Wallace: Warn Shoigu not to use such allegations as a pretext for further Russian escalation. And: US, UK, and French foreign ministers issue a statement, “rejecting Russia’s transparently false allegations.”;"Readout of Secretary of Defense Lloyd J. Austin III's Phone Call With Russian Minister of Defense Sergey
Shoygu,” Website of the US Department of Defense, October 23, 2022
[https://www.defense.gov/News/Releases/Release/Article/3196822/readout-of-secretary-of-defense-lloyd-j-
austin-iiis-phone-call-with-russian-min/]; “Russian war in Ukraine: P3 statement,” Website of the UK Government, October 24, 2022
[https://www.gov.uk/government/news/russian-war-in-ukraine-p3-statement].";;;;;;;;;;;;;;;;;;;;;
156;24 October 2022;W;W2;Austin and Wallace: Warn Shoigu not to use such allegations as a pretext for further Russian escalation. And: US, UK, and French foreign ministers issue a statement, “rejecting Russia’s transparently false allegations.”;"Readout of Secretary of Defense Lloyd J. Austin III's Phone Call With Russian Minister of Defense Sergey
Shoygu,” Website of the US Department of Defense, October 23, 2022
[https://www.defense.gov/News/Releases/Release/Article/3196822/readout-of-secretary-of-defense-lloyd-j-
austin-iiis-phone-call-with-russian-min/]; “Russian war in Ukraine: P3 statement,” Website of the UK Government, October 24, 2022
[https://www.gov.uk/government/news/russian-war-in-ukraine-p3-statement].";;;;;;;;;;;;;;;;;;;;;
157;24 October 2022;R;R6;Russia places forces on alert to respond to a WMD attack. Kirillov: Claims Kyiv is planning a false-flag dirty bomb operation. Moscow sends a letter to the UNSC containing allegations against Ukraine.;"Lara Seligman, “West rejects Russia’s ‘dirty bomb’ claim as Moscow activates counter-WMD forces,” Politico,
October 24, 2022 [https://www.politico.com/news/2022/10/24/russia-dirty-bomb-moscow-wmd-forces-
00063115]; Lara Seligman, “West rejects Russia’s ‘dirty bomb’ claim as Moscow activates counter-WMD forces,” Politico,
October 24, 2022 [https://www.politico.com/news/2022/10/24/russia-dirty-bomb-moscow-wmd-forces-
00063115], and “Минобороны России привело в готовность силы и средства для работы в условиях
радиоактивного заражения (The Russian Defence Ministry has put forces and equipment on standby to work
in radioactively contaminated conditions),” Kommersant, October 24, 2022
[https://www.kommersant.ru/doc/5632591]; Michelle Nichols and Pavel Polityuk, “Russia brings Ukraine 'dirty bomb' warning to U.N. as it evacuates
Kherson,” Reuters, October 25, 2022 [https://www.reuters.com/world/europe/russia-hits-ukraine-homes-
evacuates-kherson-warns-escalation-2022-10-24/]. For Lavrov’s announcement of the letter, see
[https://tass.com/politics/1526717].";;;;;;;;;;;;;;;;;;;;;
158;24 October 2022;R;R8;Naryshkin: It is “absolutely not” possible that Russia would use nuclear weapons in Ukraine.;"“Russia finds Western nuclear weapons rhetoric worrisome — intelligence chief,” TASS, October 24, 2022
[https://tass.com/politics/1526609], and Steve Rosenberg, “Ukraine war: Russian spy chief blames West for
nuclear tension,” BBC News, October 24, 2022 [https://www.bbc.com/news/world-europe-63373728].";;;;;;;;;;;;;;;;;;;;;
159;24 October 2022;W;W2;Price: Expresses concern over “mirror imaging,” and underlines that the Administration has been “very clear” about the “severe consequences” of nuclear use.;"Ned Price, “Department Press Briefing – October 24, 2022,” Website of the US State Department, October 24,
2022 [https://www.state.gov/briefings/department-press-briefing-october-24-2022/].";;;;;;;;;;;;;;;;;;;;;
160;24 October 2022;W;W6;Various US officials: There are no indications Russia is preparing to use WMD.;"Lara Seligman, “West rejects Russia’s ‘dirty bomb’ claim as Moscow activates counter-WMD forces,” Politico,
October 24, 2022 [https://www.politico.com/news/2022/10/24/russia-dirty-bomb-moscow-wmd-forces-
00063115]; Michelle Nichols and Pavel Polityuk, “Russia brings Ukraine 'dirty bomb' warning to U.N. as it evacuates
Kherson,” Reuters, October 25, 2022 [https://www.reuters.com/world/europe/russia-hits-ukraine-homes-
evacuates-kherson-warns-escalation-2022-10-24/]; Henry Foy et al, “West sees Russia’s ‘dirty bomb’ claims as pretext for possible Ukraine escalation,” Financial
Times, October 24, 2022 [https://www.ft.com/content/b5deaec3-91d8-4035-be2c-1a7c06ae8ba9]";;;;;;;;;;;;;;;;;;;;;
161;24 October 2022;R;R8;Gerasimov tells Milley over the phone that a potential nuclear use would be consistent with Washington’s understanding of Russia’s nuclear doctrine.;"This event could potentially be coded as de-escalatory. However, as we could not ascertain whether Russian
behaviour was purposeful or not, we decided against coding the event. Julian E. Barnes and David E. Sanger,
“Fears of Russian Nuclear Weapons Use Have Diminished, but Could Re-emerge,” New York Times, February 3,
2023 [https://www.nytimes.com/2023/02/03/us/politics/russia-nuclear-
weapons.html?searchResultPosition=1].";;;;;;;;;;;;;;;;;;;;;
162;25 October 2022;W;W2;Biden: “Russia would be making an incredibly serious mistake for it to use a tactical nuclear weapon.” Austin rejects “pretexts” for Russian escalation.;"David Sanger, “Biden issues a stark warning to Russia,” The New York Times, October 25, 2022
[https://www.nytimes.com/live/2022/10/25/world/russia-ukraine-war-news].";;;;;;;;;;;;;;;;;;;;;
163;26 October 2022;R;R3;Russia conducts a planned nuclear exercise.;"“Putin monitors practice launches by Russia’s nuclear forces,” AP News, October 26, 2022
[https://apnews.com/article/russia-ukraine-putin-europe-moscow-sergei-shoigu-
752933fd7c59c22226ef377363955de8].";;;;;;;;;;;;;;;;;;;;;
164;26 October 2022;R;R6; Putin: “We know about the plans to use the so-called dirty bomb for provocations.”;"“Putin monitors practice launches by Russia’s nuclear forces,” AP News, October 26, 2022
[https://apnews.com/article/russia-ukraine-putin-europe-moscow-sergei-shoigu-
752933fd7c59c22226ef377363955de8].";;;;;;;;;;;;;;;;;;;;;
165;26 October 2022;W;W2;Blinken: Washington has “communicated directly and very clearly” the “consequences” of using nuclear weapons.;"Jennifer Hansler and Kylie Atwood, “Blinken says the consequences for using a nuclear weapon have been
conveyed to Putin,” CNN, October 27, 2022 [https://edition.cnn.com/2022/10/26/politics/blinken-putin-
nuclear-consequences/index.html]";;;;;;;;;;;;;;;;;;;;;
166;27 October 2022;R;R8;Putin: Ukraine is preparing a false flag attack with a radioactive bomb, but “there is no sense in [using nuclear weapons] for us, neither political, nor military.” Moscow has “never said anything proactively about Russia potentially using nuclear weapons.”;"“Valdai International Discussion Club meeting,” Website of the Kremlin, October 27, 2022
[http://en.kremlin.ru/events/president/transcripts/69695], and “Russia’s Putin says he won’t use nuclear
weapons in Ukraine,” AP News, October 27, 2022 [https://apnews.com/article/putin-europe-government-and-
politics-c541449bf88999c117b033d2de08d26d].";;;;;;;;;;;;;;;;;;;;;
167;27 October 2022;W;W7;Biden: If Putin has “no intention” to use nuclear weapons, “why does he keep talking” about “the ability to use a tactical nuclear weapon.” Putin has “been very dangerous in how he’s approached” the nuclear question.;"Hyder Abbasi, “Biden questions Putin's claim Russia won't use nuclear weapons in Ukraine, criticizes
‘dangerous’ rhetoric,” CBS News, October 28, 2022 [https://www.nbcnews.com/news/world/biden-questions-
putin-russia-use-nuclear-weapons-ukraine-dangerous-rcna54476]; Eric Beech “Biden: Putin's talk of possible use of nuclear weapons in Ukraine is 'dangerous',” Reuters, October
28, 2022 [https://www.reuters.com/world/europe/biden-putins-talk-possible-use-nuclear-weapons-ukraine-
is-dangerous-2022-10-27/].";;;;;;;;;;;;;;;;;;;;;
168;30 October 2022;R;R6;Lavrov: The current situation bears similarity with the Cuban missile crisis. “This situation is very disturbing.” Russia does not see readiness from Western leaders to “show responsibility.”;"Guy Faulconbridge, “Russia’s Lavrov needles Biden over Cuban missile crisis and Ukraine,” Reuters, October
30, 2022 [https://www.reuters.com/world/europe/russias-lavrov-needles-biden-over-cuban-missile-crisis-
ukraine-2022-10-30/].";;;;;;;;;;;;;;;;;;;;;
169;31 October 2022;W;W2;Cleverly: Nuclear use would “change the nature of the conflict” and imply “severe consequences for Russia.” The dirty bomb claims are “absurd.”;"William James and Alistair Smout, “UK warns Russia of severe consequences if nuclear weapons used in
Ukraine,” Reuters, October 31, 2022 [https://www.reuters.com/world/uk/uk-warns-russia-severe-
consquences-if-nuclear-weapons-used-ukraine-2022-10-31/]";;;;;;;;;;;;;;;;;;;;;
170;2 November 2022;W;W6;Kirby: Administration has “grown increasingly concerned about the potential” that Putin might use nuclear weapons, but there are still no concrete indications.;" Karoun Demirjian and Shane Harris, “Russian military leaders’ talk of nuclear attack rattles U.S. calculus,” The
Washington Post, November 2, 2022 [https://www.washingtonpost.com/national-security/2022/11/02/us-
russia-ukraine-nuclear-weapons/].";;;;;;;;;;;;;;;;;;;;;
171;2 November 2022;R;R8;Russian Foreign Ministry: Russia’s doctrine mandates only “defensive goals” and does not permit an “expansive interpretation.”;"Statement of the Russian Federation on preventing nuclear war,” Website of the Russian Foreign Ministry,
November 2, 2022 [https://www.mid.ru/ru/foreign_policy/news/1836575/?lang=en].";;;;;;;;;;;;;;;;;;;;;
172;3 November 2022;R;R8;Kelin: Russia will not use nuclear weapons in Ukraine, they are designed for other purposes. Peskov: Moscow would abide by its doctrine.;"“Moscow to eschew use of nuclear weapons in Ukraine, Russian envoy reiterates,” TASS, November 3, 2022
[https://tass.com/politics/1532329].";;;;;;;;;;;;;;;;;;;;;
173;4 November 2022;W;W2;G7: “Any use of chemical, biological, or nuclear weapons by Russia would be met with severe consequences.”;"“G7 Foreign Ministers’ Statement,” Website of the French Foreign Ministry, November 4, 2022,
[https://www.diplomatie.gouv.fr/en/country-files/europe/western-balkans-62918/article/g7-foreign-
ministers-statement-4-november-2022-munster], and Metthew Lee, “G-7 ministers back Ukraine support, are
suspicious of China,” AP News, November 4, 2022 [https://apnews.com/article/russia-ukraine-iran-china-
germany-north-korea-a308db7e340fed2e4c09a6303368de96]";;;;;;;;;;;;;;;;;;;;;
174;4 November 2022;R;R6;Medvedev: Russia has to stop the devil and is fighting “Nazis,” but it has various weapons and could “send all enemies” to hell.;"“Medvedev says Russia is fighting a sacred battle against Satan,” Reuters, November 4, 2022
[https://www.reuters.com/world/europe/medvedev-says-russia-is-fighting-sacred-battle-against-satan-2022-
11-04/], and Post on Telegram channel of Dmitry Medvedev, Telegram, November 4, 2022
[https://t.me/medvedev_telegram/206].";;;;;;;;;;;;;;;;;;;;;
175;4 November 2022;R;R8;Medvedev: […] though this is “not” its task.;"“Medvedev says Russia is fighting a sacred battle against Satan,” Reuters, November 4, 2022
[https://www.reuters.com/world/europe/medvedev-says-russia-is-fighting-sacred-battle-against-satan-2022-
11-04/], and Post on Telegram channel of Dmitry Medvedev, Telegram, November 4, 2022
[https://t.me/medvedev_telegram/206].";;;;;;;;;;;;;;;;;;;;;
